157,151,8
135.5,166,7
100.5,167.5,8
87,141,8
38.5,142.5,8.5
207.5,212,9
339.5,212,11
225,262.5,8
180.5,236.5,7
183.5,216,6.5
199,233,6
482,190,7
578.5,293,11
597.5,354,11
569,447,11.5
467,458.5,11
490.5,462,9.5
249,281,9
363.5,303.5,10.5
412.5,302,9
443,296.5,8
453.5,355,9.5
314.5,404,9.5
43,273,9
33.5,243.5,7.5
138.5,196,9
77,179,6.5
70,196.5,6
71.5,225.5,5.5
92.5,230.5,6.5
226.5,287,6.5
560.5,247,9
859,267.5,10.5
749,298.5,8
278,538,10
223.5,522.5,9.5
255.5,507,9
101.5,503.5,8
120,517,8
82,542.5,7.5
489.5,540.5,7
520,560,7.5
531.5,603,7
456,609.5,8
600.5,535,6.5
549,344.5,7.5
632.5,282.5,6
674.5,307.5,6
651,233,7.5
670.5,226.5,7.5
705.5,217,10
344.5,333.5,6
292,304.5,5
319.5,297.5,5
337.5,302.5,5
310,312.5,5
130,215,7
153,230.5,7.5
151,216,5.5
125,200,7
120,182,4
101,188,5.5
777.5,173.5,9.5
754.5,168.5,10.5
542,171,19.5
465,183.5,12
265,180,7.5
226,185.5,10
287,163.5,5.5
269,162,5.5
381.5,553,6.5
409.5,581,6
445.5,588,6.5
828.5,510.5,7.5
767,419,9
647,416.5,8
662.5,389.5,7
650.5,358,7.5
602,326.5,8.5
539.5,321.5,6.5
488,314.5,6.5
803,334.5,6.5
681,191,6.5
599,218,7.5
1049,211,9.5
1068.5,255.5,8
1069.5,310,10.5
1036.5,358.5,9.5
966.5,343.5,9
896,280.5,8.5
876.5,249.5,8
884.5,261.5,6.5
725.5,197,8.5
710.5,198,7
1026.5,221,7.5
1013.5,204.5,7.5
965.5,207.5,7.5
945.5,211,8
900,216,7.5
868,214.5,7
778,244,7
815.5,228.5,7
808,235.5,7
1223.5,371.5,9.5
601.5,178,7
573,158,10.5
582,261.5,7.5
573.5,228,6.5
579,238.5,7
581.5,248,6.5
1048.5,252.5,7.5
1044,274,7.5
1041.5,312.5,7
1013,254.5,7
992.5,240.5,6.5
976.5,229.5,6
1242.5,170,24.5
1037,169,24.5
909.5,167.5,21.5
865.5,174,19.5
631.5,174,15
415,165,12.5
836.5,142.5,8.5
886.5,143.5,8.5
748.5,147,6.5
727.5,162.5,5
742.5,201.5,5
601,196.5,4
524,368,7.5
414.5,337.5,6
372,402.5,7.5
377.5,205.5,8.5
421,220,7
404,227.5,6.5
221,223,5.5
260,226,7.5
274,222,6
312,208,8
433,146.5,8.5,10.8,0
326,146,8.5,10.8,0
572,131,7,9.8,0
450,141,6.5,9.3,0
469,139,6,8.3,0
221,162,9.5,11.8,0
173.5,145,9,11.3,0
591,122.5,7,9.3,0
604,124,7,9.3,0
745,130.5,6,8.3,0
767.5,126,5,7.3,0
656,129,7,9.3,0
1100.5,423.5,8
1199.5,457.5,8.5
953,493.5,11
