centerY,centerX,orientation,major_axis_length,minor_axis_length
313.932,156.114,0.008,5.492,5.129
454.077,933.947,0.041,12.601,11.419
460.121,808.229,-0.06,10.532,9.762
313.5,254.0,0.0,5.841,5.441
601.85,1184.64,0.248,5.818,5.498
263.552,1048.389,0.062,8.162,7.915
339.761,189.95,0.07,9.505,8.669
377.769,326.521,-0.141,6.344,6.069
439.277,670.317,-0.016,10.605,9.848
629.625,352.5,0.0,7.783,7.192
312.795,288.453,-0.368,6.307,5.906
459.813,331.373,0.068,11.517,10.368
263.429,828.161,0.05,8.985,7.935
331.742,110.19,0.033,9.225,8.696
319.5,495.5,0.0,7.09,6.817
317.66,415.83,0.101,7.246,6.984
308.535,678.0,0.0,5.271,5.221
259.189,76.095,-0.071,7.055,6.677
315.125,437.7,-0.191,6.361,6.007
260.138,133.912,0.014,7.242,7.005
342.049,264.658,0.005,9.502,8.813
383.827,762.5,0.0,7.376,6.986
347.504,366.21,0.064,9.227,8.552
380.404,651.454,-0.032,6.834,6.577
312.94,332.581,-0.6,6.239,5.975
640.211,968.201,-0.08,10.698,9.608
261.35,188.675,0.027,8.287,7.913
422.79,12.511,-0.078,9.667,9.089
519.629,1023.708,0.066,12.851,10.948
256.656,451.607,-0.099,6.404,6.07
637.352,785.685,-0.02,11.637,10.262
371.833,484.722,-0.195,7.06,6.504
307.213,976.527,-0.537,7.017,6.816
548.831,544.562,-0.146,5.664,5.002
649.295,241.709,-0.083,9.409,8.492
262.867,248.497,0.01,7.575,6.93
314.032,134.892,-0.053,5.615,5.266
373.191,1272.514,-0.009,11.514,8.108
539.785,387.304,-0.057,7.294,6.897
328.318,653.119,0.069,10.933,9.814
677.643,1198.347,-0.134,5.924,5.264
263.297,264.714,-0.039,7.868,7.366
633.883,124.21,-0.027,10.219,9.04
668.041,954.74,-0.116,5.119,4.568
436.045,527.048,0.056,10.675,9.896
577.823,465.442,0.041,11.268,9.915
563.289,47.87,-0.116,10.241,9.572
380.263,565.687,-0.192,7.831,7.276
260.255,1172.72,0.058,9.249,8.228
313.095,312.862,-0.13,6.167,6.002
315.376,190.812,0.158,5.3,5.124
680.088,1147.683,0.064,10.61,9.574
590.533,1117.813,0.941,4.948,4.828
312.338,44.754,0.209,4.781,4.334
312.588,220.706,-0.06,5.578,4.875
261.367,1132.681,-0.102,8.863,8.114
255.754,738.639,0.201,6.565,5.918
333.405,521.201,0.008,10.034,9.172
346.469,993.543,0.02,10.916,9.509
301.744,1176.625,-0.079,10.79,9.443
328.1,695.82,-0.346,4.109,3.887
658.0,1242.083,0.0,4.0,3.826
547.515,430.5,0.0,4.726,4.462
603.242,275.892,0.017,10.526,9.493
666.196,579.088,-0.028,10.789,9.767
263.611,388.13,-0.02,7.398,6.985
378.664,895.447,0.011,9.268,8.697
264.12,369.565,0.127,8.216,7.753
644.392,816.94,0.029,10.493,9.588
264.451,728.954,0.079,8.468,7.349
355.234,971.385,0.005,11.275,9.912
