centerY,centerX,orientation,major_axis_length,minor_axis_length
590.34,220.135,-0.015,7.021,6.406
274.365,364.019,0.119,7.591,6.665
271.928,572.337,0.045,7.476,7.07
462.23,791.972,0.032,10.494,9.765
586.231,180.549,-0.122,7.7,7.148
340.023,93.693,0.112,7.659,7.312
379.7,741.883,-0.157,6.406,5.985
442.081,466.278,-0.026,9.683,8.874
647.627,24.652,0.097,7.464,6.751
557.441,708.315,-0.128,6.403,6.332
268.023,166.406,0.241,6.469,6.292
271.27,591.736,-0.106,7.696,7.365
272.265,548.071,0.102,7.45,6.619
273.616,391.329,0.116,7.041,6.599
445.193,369.695,-0.302,8.555,8.297
644.021,170.533,-0.034,8.401,7.389
265.841,67.654,-0.118,6.135,5.563
266.213,82.689,-0.173,6.457,6.008
273.599,448.76,0.012,7.629,6.974
440.253,176.389,0.009,7.947,7.616
272.404,290.0,0.0,6.853,6.315
340.603,950.109,-0.05,9.664,8.797
272.469,500.337,0.093,7.721,7.219
272.967,472.033,-0.085,7.238,6.682
266.082,28.2,-0.393,5.371,5.046
586.105,571.685,0.052,9.112,8.318
667.704,993.8,-0.1,9.938,8.968
321.983,1155.536,0.042,10.418,9.227
338.516,17.542,0.145,7.082,6.871
340.647,239.469,0.029,8.379,7.872
349.544,1030.34,0.058,10.016,9.341
641.24,320.124,0.061,8.814,7.837
273.298,418.06,0.131,7.278,6.596
267.267,146.317,0.271,6.247,6.123
455.049,1267.182,0.058,10.665,9.818
266.079,41.809,-0.317,5.457,5.191
644.06,479.685,-0.048,9.682,8.248
430.981,1018.808,-0.026,10.312,9.82
451.567,630.99,0.109,10.166,9.607
383.283,906.386,-0.375,6.865,6.729
586.458,116.911,-0.046,8.11,7.456
269.598,206.021,-0.154,5.817,5.322
483.021,1067.781,0.06,6.919,6.729
436.804,107.587,1.099,7.844,7.676
250.063,352.709,0.09,8.505,7.715
264.25,969.898,0.18,8.108,7.698
557.419,482.588,-0.064,10.096,9.497
347.706,346.64,-0.035,8.611,7.911
593.097,287.352,0.102,8.234,7.583
249.88,263.96,0.017,7.754,7.188
382.898,1014.358,-0.011,6.806,6.415
341.539,166.708,-0.083,7.843,7.233
458.931,726.381,-0.065,8.842,8.314
263.254,922.707,-0.081,7.807,7.382
250.357,172.357,0.046,7.727,6.931
