17,223.4,4,4,0
91,197.4,3,3,0
96,197.4,3.5,3.5,0
103,197.4,4,4,0
111,197.4,4,4,0
120,196.4,4,4,0
129,195.4,4,4,0
138,195.4,4,4,0
147,195.4,4.5,4.5,0
157,195.4,5,5,0
160,213.4,5,5.5,0
92,223.4,4,4.5,0
305,271.4,3,3.5,0
324,369.4,3.5,3.5,0
334,272.4,4,4,0
152,527.6,3.5,3.5,0
173,525.6,3.5,3.5,0
115,555.6,3.5,3.5,0
287,577.6,3.5,3.5,0
197,629.6,5,5,0
318,581.6,4,4,0
213,524.6,4,4,0
746.8,534.2,3.5,3.5,0
753.8,534.2,3.5,3.5,0
733.8,522.2,3.5,3.5,0
713.8,532.2,3.5,3.5,0
675.8,529.2,3.5,3.5,0
615.8,529.2,3.5,3.5,0
895.8,503.2,3.5,3.5,0
945.8,503.2,4.5,4.5,0
895.8,227.6,4.5,4.5,0
920.8,196.6,4,4,0
665.8,214.6,3,3,0
1199.6,317,3.5,3.5,0
1207.6,317,3.5,3.5,0
1212.6,319,3.5,3.5,0
1217.6,320,3.5,3.5,0
1230.6,321,3.5,3.5,0
1242.6,321,4,4,0
1182.6,200.8,3.5,3.5,0
1166.6,201.8,3.5,3.5,0
1133.6,203.8,3,3,0
1199.6,201.8,3.5,3.5,0
1106.6,198.8,3.5,3.5,0
1119.6,205.8,3,3,0
567.8,212.8,4,4,0
546.8,212.8,3,3,0
539.8,212.8,2.5,2.5,0
750.25,202.75,5,5,0
585.2,386.6,3.5,3.5,0
603.2,385.6,3.5,3.5,0
622.2,384.6,4,4,0
682.2,382.6,3.5,3.5,0
358,585.75,5,5,0
254,521.75,5,5,0
909.75,630.75,5,5.5,0
1010.75,548.75,4,4.5,0
1042.75,493.75,5.5,6,0
1034.75,213.5,4.5,5,0
1021.75,209.5,5.5,6,0
774.75,200.5,5.5,6,0
358.25,371.5,4.5,5,0
423.25,370.5,5.5,5.5,0
37,632.5,5,5.5,0
13,633.5,5.5,6,0
413,580,5,5.5,0
316,528,5,5.5,0
371,274.25,4.5,5,0
166,195.25,4.5,5,0
591.6,526.4,3,3,0
1216.6,197,5,5,0
1226.6,202,4,4,0
1275.6,203,4.5,4.5,0
1190.6,212,3,3,0
